"dljg","zjlsh","bsh","jym","jdbz","fse","ye","lxjs","jyrq","mxbs","czzy","czy","fhy","sqr"
"11005","320224108","100224108","4103","1","850","900.98","1006.0","42031","142","取","7782","5475","9824"
"11005","320224109","100224109","4103","1","300","1750.98","1005.0","42810","141","取","5685","4255","2079"
"11005","320224110","100224110","4102","2","1339","2050.98","1001.0","43676","140","存","5767","9983","1619"
"11005","320224111","100224111","4102","2","72410","711.98","1001.0","42231","139","存","7364","5654","7364"
"11005","320224112","100224112","4103","1","59","1.98","1005.0","42801","138","取","7232","4542","7283"
"11005","320224113","100224113","4103","1","300","60.98","1006.0","43290","137","取","6995","1412","3205"
"11005","320224114","100224114","4103","1","1555","360.98","1006.0","43288","136","取","6609","6316","3258"
"11005","320224115","100224115","4103","1","200","1915.98","1006.0","42424","135","取","7611","4240","6662"
"11005","320224116","100224116","4102","2","690","2115.98","1001.0","42620","134","存","6811","9779","6811"
"11005","320224117","100224117","4102","2","1424","1425.98","1006.0","43292","133","存","8528","5144","6165"
"11005","320224118","100224118","4103","1","80","1.98","1001.0","42630","132","取","3936","3141","6614"
"11005","320224119","100224119","4103","1","1700","81.98","1001.0","43291","131","取","3505","1978","6795"
"11005","320224120","100224120","4103","1","500","1781.98","1005.0","43020","130","取","6064","3386","4474"
"11015","320224121","100224121","4102","2","1424","2281.98","1001.0","42013","129","存","3540","8151","1465"
"11015","320224122","100224122","4102","2","680","857.98","1001.0","43342","128","存","6766","3424","7227"
"11015","320224123","100224123","4103","1","200","177.98","1006.0","43301","127","取","1001","2328","5298"
"11015","320224124","100224124","4103","1","813","377.98","1006.0","43747","126","取","7729","1296","8544"
"11015","320224125","100224125","4103","1","1000","1190.98","1001.0","42239","125","取","3011","9656","5072"
"11015","320224126","100224126","4102","2","1424","2190.98","1001.0","42824","158","存","3085","1860","7114"
"11015","320224127","100224127","4102","2","720","766.98","1001.0","43017","157","存","8139","7760","5044"
"11015","320224128","100224128","4103","1","300","46.98","1001.0","42671","156","取","3240","8723","5826"
"11015","320224129","100224129","4103","1","9000","346.98","1005.0","42643","155","取","3222","1999","3222"
"11015","320224130","100224130","4103","1","2000","9346.98","1001.0","42024","154","取","4589","7013","1425"
"11015","320224131","100224131","4103","1","1500","11346.98","1006.0","42848","153","取","6426","8983","5375"
"11015","320224132","100224132","4102","2","7000","12846.98","1001.0","43336","152","存","2360","7032","4344"
"11015","320224133","100224133","4102","2","393800","5846.98","1001.0","43052","151","存","4343","6806","4343"
"11015","320224134","100224134","4103","1","500","1908.98","1006.0","42239","150","取","1318","7998","5987"
"21005","320224135","100224135","4102","2","1407","2408.98","1001.0","42633","149","存","5708","1771","8316"
"21005","320224136","100224136","4102","2","680","1001.98","1001.0","42019","148","存","7237","3017","4889"
"21005","320224137","100224137","4102","2","280","321.98","1005.0","43305","113","存","7029","1473","4039"
"21005","320224138","100224138","4103","1","230","41.98","1006.0","43651","112","取","8430","6981","5297"
"21005","320224139","100224139","4103","1","700","271.98","1005.0","42841","111","取","2276","6949","2702"
"21005","320224140","100224140","4103","1","1000","971.98","1005.0","42415","110","取","5096","8695","4525"
"21005","320224141","100224141","4103","1","2000","1971.98","1005.0","43310","109","取","1410","5544","3903"
"21005","320224142","100224142","4103","1","300","3971.98","1006.0","43285","108","取","6419","1135","2083"
"21005","320224143","100224143","4102","2","1441","4271.98","1001.0","43042","107","存","9001","5129","2722"
"21005","320224144","100224144","4102","2","1000","2830.98","1001.0","42238","106","存","8761","1564","4600"
"21005","320224145","100224145","4103","1","500","2150.98","1006.0","43295","105","取","6835","7576","1748"
"21005","320224146","100224146","4103","1","300","2350.98","1001.0","43297","104","取","9368","7871","3258"
"21005","320224147","100224147","4102","2","1124","3390.98","1005.0","42662","103","存","6870","2389","6870"
"21005","320224148","100224148","4103","1","680","1390.98","1006.0","42643","102","取","7978","7212","5173"
"21005","320224149","100224149","4103","1","1200","1590.98","1001.0","42853","158","取","2693","3251","7535"
"21005","320224150","100224150","4102","2","500","1853.86","1001.0","42639","157","存","7832","1290","4590"
"21005","320224151","100224151","4102","2","690","729.86","1001.0","43287","156","存","5410","4273","7144"
"21005","320224152","100224152","4103","1","1800","9.86","1006.0","43474","155","取","9312","6942","9317"
"21005","320224153","100224153","4103","1","110724","109.86","1006.0","42621","154","取","3682","6390","3682"
"21005","320224154","100224154","4103","1","680","309.86","1006.0","43295","153","取","2635","3172","8127"
"21005","320224155","100224155","4102","2","1200","1809.86","1001.0","42420","152","存","7652","9039","8092"
"21005","320224156","100224156","4102","2","200","1129.86","1001.0","42008","151","存","1878","1149","3398"
"21005","320224157","100224157","4103","1","1600","5.86","1006.0","43310","150","取","1111","3895","8075"
"21005","320224158","100224158","4103","1","500","1605.86","1005.0","43283","149","取","8531","3520","8531"
"21005","320224159","100224159","4102","2","1124","2105.86","1001.0","43737","148","存","4051","7415","7800"
"21005","320224160","100224160","4102","2","680","981.86","1001.0","43060","90","存","2953","5773","2149"
"21005","320224161","100224161","4102","2","300","301.86","1001.0","42796","89","存","7781","8346","1447"
"21005","320224162","100224162","4103","1","1250","1.86","1001.0","43490","88","取","3613","7751","1585"
"21005","320224163","100224163","4103","1","200","1251.86","1005.0","43554","87","取","5785","9605","2297"
"21005","320224164","100224164","4103","1","500","1451.86","1005.0","42031","86","取","1620","2569","3083"
"21005","320224165","100224165","4103","1","200","1951.86","1001.0","42054","85","取","3387","2559","8738"
"21005","320224166","100224166","4102","2","1124","2151.86","1001.0","42804","84","存","2087","7089","6857"
"21005","320224167","100224167","4102","2","300","1027.86","1001.0","43025","83","存","9253","6642","6988"
"21005","320224168","100224168","4102","2","690","727.86","1001.0","43307","82","存","7944","6446","2202"
"21005","320224169","100224169","4103","1","1400","37.86","1006.0","43297","81","取","2528","9144","8835"
"21005","320224170","100224170","4103","1","200","1437.86","1005.0","42672","80","取","5667","9045","1554"
"21005","320224171","100224171","4103","1","100","1637.86","1005.0","42013","158","取","3820","9175","3271"
"21005","320224172","100224172","4103","1","200","1737.86","1001.0","42622","157","取","2157","3444","3358"
"21005","320224173","100224173","4103","1","224600","1937.86","1006.0","42017","156","取","1397","1045","1397"
"21005","320224174","100224174","4103","1","20","2137.86","1001.0","43041","155","取","5230","5970","5067"
"21005","320224175","100224175","4102","2","1124","2157.86","1001.0","43010","154","存","5493","2095","1909"
"21005","320224176","100224176","4102","2","300","1033.86","1001.0","42812","153","存","7532","7548","3060"
"21005","320224177","100224177","4102","2","720","733.86","1001.0","42027","152","存","5551","7377","7647"
"21005","320224178","100224178","4102","2","1124","2157.86","1001.0","42011","151","无效","3344","2077","3208"
"21005","320224179","100224179","4103","1","150","13.86","1001.0","43010","150","取","3825","2406","7634"
"21005","320224180","100224180","4103","1","2.07","163.86","0.0","43341","149","税","1928","3057","3233"
"21005","320224181","100224181","4102","2","10.37","165.93","0.0","42238","148","息","6684","5428","9922"
"21005","320224182","100224182","4103","1","700","155.56","1006.0","43654","68","取","1004","4762","7462"
"21005","320224183","100224183","4103","1","1000","855.56","1001.0","42660","67","取","3301","2389","2453"
"21005","320224184","100224184","4103","1","1800","1855.56","1006.0","42615","66","取","9360","5538","4018"
"21005","320224185","100224185","4102","2","1124","3655.56","1001.0","43710","65","存","8466","1321","9239"
"21005","320224186","100224186","4102","2","680","2531.56","1001.0","43063","64","存","7142","5498","1839"
"21005","320224187","100224187","4103","1","200","1851.56","1001.0","43284","63","取","1921","5417","6997"
"21005","320224188","100224188","4102","2","1124","2051.56","1001.0","43306","62","存","8906","9950","5208"
"21005","320224189","100224189","4102","2","680","927.56","1001.0","42032","61","存","2720","1938","2720"
"21005","320224190","100224190","4103","1","200","247.56","1006.0","42242","60","取","7167","5433","1291"
"21005","320224191","100224191","4103","1","200","447.56","1001.0","42809","59","取","4244","6230","6099"
"21005","320224192","100224192","4103","1","1000","647.56","1001.0","43303","58","取","3819","2837","5848"
"21005","320224193","100224193","4103","1","500","1647.56","1006.0","42241","57","取","7253","1054","7658"
"21005","320224194","100224194","4102","2","300","2147.56","1001.0","43067","56","存","5672","1022","1029"
"21005","320224195","100224195","4102","2","1124","1847.56","1001.0","43293","55","存","1637","1997","5543"
"21005","320224196","100224196","4102","2","623580","723.56","1001.0","42619","54","存","5021","5647","5021"
"21005","320224197","100224197","4103","1","1200","43.56","1005.0","42631","53","取","9340","6155","9340"
"21005","320224198","100224198","4102","2","500","1243.56","1005.0","43015","52","存","5205","8903","5641"
"21005","320224199","100224199","4102","2","690","743.56","1005.0","43282","51","存","4499","1486","2017"
"21005","320224200","100224200","4103","1","1800","53.56","1001.0","43289","50","取","7829","9289","1250"
"21005","320224201","100224201","4102","2","1124","1853.56","1001.0","43308","49","存","3730","4864","6647"
"21005","320224202","100224202","4102","2","680","729.56","1001.0","43530","48","存","8687","6977","4125"
"21005","320224203","100224203","4103","1","1200","49.56","1005.0","42023","47","取","3650","8581","3629"
"21005","320224204","100224204","4103","1","200","1249.56","1004.0","42802","46","取","6969","8625","9434"
"21005","320224205","100224205","4102","2","1204","1449.56","1004.0","42229","45","存","2535","5450","9547"
"21005","320224206","100224206","4103","1","2000","245.56","1001.0","42008","44","取","8851","9308","1851"
"21005","320224207","100224207","4102","2","380","2245.56","1004.0","43511","43","存","4789","7152","4128"
"21005","320224208","100224208","4102","2","1204","1865.56","1001.0","43304","42","存","5136","9681","6687"
"21005","320224209","100224209","4102","2","280","661.56","1001.0","43065","41","存","8379","8649","1891"
"21005","320224210","100224210","4102","2","380","381.56","1004.0","43291","40","存","2718","9820","6167"
"21005","320224211","100224211","4103","1","800","1.56","1006.0","43517","39","取","1925","7496","2630"
"21005","320224212","100224212","4103","1","3000","801.56","1006.0","43286","38","取","8001","5582","1856"
"21005","320224213","100224213","4103","1","30","3801.56","1001.0","42844","37","取","4135","5410","4794"
"21005","320224214","100224214","4102","2","380","3831.56","1001.0","42225","36","存","1353","1570","1891"
"21005","320224215","100224215","4102","2","1204","3451.56","1001.0","43011","35","存","1097","6903","8504"
"21005","320224216","100224216","4102","2","500","2247.56","1004.0","42437","34","存","5565","4949","4024"
"21005","320224217","100224217","4102","2","380","1747.56","1004.0","42635","33","存","5576","5881","9189"
"21005","320224218","100224218","4102","2","1204","1367.56","1006.0","43298","32","存","4242","6617","4870"
"21005","320224219","100224219","4103","1","1500","163.56","1001.0","42005","31","取","6780","3549","1734"
"21005","320224220","100224220","4102","2","1204","1663.56","1001.0","43293","30","存","1320","5264","8556"
"21005","320224221","100224221","4103","1","700","459.56","1001.0","43049","29","取","4848","7548","7181"
"21005","320224222","100224222","4102","2","380","1159.56","1001.0","43013","28","存","1919","6398","7702"
"21005","320224223","100224223","4103","1","1100","779.56","1001.0","43296","27","取","2315","7281","2346"
"21005","320224224","100224224","4103","1","38","1879.56","1001.0","43290","26","取","8034","9169","4234"
"21005","320224225","100224225","4102","2","380","1917.56","1001.0","43296","25","存","1087","7171","7127"
"21005","320224226","100224226","4102","2","120004","1537.56","1001.0","43694","24","存","2503","7550","2503"
"21005","320224227","100224227","4103","1","20","333.56","0.0","42829","23","取","3225","5516","8199"
"21005","320224228","100224228","4103","1","300","353.56","0.0","42013","22","取","8217","8737","1006"
"21005","320224229","100224229","4103","1","1000","653.56","0.0","42414","21","取","6455","3761","3739"
"21005","320224230","100224230","4103","1","1000","1653.56","0.0","42806","20","取","2892","7067","8960"
"21005","320224231","100224231","4103","1","300","2653.56","0.0","43302","19","取","3297","6366","1701"
"21005","320224232","100224232","4102","2","1204","2953.56","0.0","43296","18","存","4900","6416","2972"
"21005","320224233","100224233","4102","2","380","1749.56","0.0","42842","17","存","5494","5915","6017"
"21005","320224234","100224234","4102","2","400","1369.56","0.0","42666","16","存","5493","9277","5456"
"21005","320224235","100224235","4103","1","1.35","969.56","0.0","43469","15","税","8736","3589","5213"
"21005","320224236","100224236","4102","2","8.77","970.91","0.0","43489","14","J息","2702","2879","1913"
"21005","320224237","100224237","4103","1","1000","962.14","0.0","43303","13","取","4557","9188","2997"
"21005","320224238","100224238","4102","2","706","1962.14","0.0","43295","12","存","7113","1847","2863"
"21005","320224239","100224239","4102","2","378","1256.14","0.0","42246","11","存","4401","2998","5073"
"21005","320224240","100224240","4102","2","60","878.14","0.0","42627","10","存","2217","1119","2003"
"21005","320224241","100224241","4102","2","380","818.14","0.0","42243","9","存","2057","3472","6201"
"21005","320224242","100224242","4103","1","900","438.14","0.0","42826","8","取","5231","8576","6756"
"21005","320224243","100224243","4103","1","300","1338.14","0.0","42830","7","取","2830","2735","4374"
"21005","320224244","100224244","4102","2","380","1638.14","0.0","43754","6","存","2411","9506","2411"
"21005","320224245","100224245","4102","2","706","1258.14","0.0","42632","5","存","1739","6087","2729"
"21005","320224246","100224246","4103","1","52500","552.14","0.0","42846","4","取","2307","1079","2307"
"21005","320224247","100224247","4102","2","1166","3052.14","0.0","43738","3","存","8489","8361","6330"
"21005","320224248","100224248","4102","2","380","1886.14","0.0","42243","2","存","9995","3150","6907"
"21005","320224249","100224249","4102","2","100","1506.14","0.0","42441","1","存","3652","9538","1412"
"21005","320224250","100224250","4103","1",".02","11.54","0.0","43068","19","税","7466","7559","7902"
"21005","320224251","100224251","4102","2",".08","11.56","0.0","42020","18","息","3987","8175","6605"
"21005","320224252","100224252","4103","1",".02","11.48","0.0","43477","17","税","4107","4581","4636"
"21005","320224253","100224253","4102","2",".08","11.5","0.0","42011","16","息","3451","3424","6702"
"21005","320224254","100224254","4103","1",".02","11.42","0.0","42244","15","税","1621","6206","5084"
"21005","320224255","100224255","4102","2",".08","11.44","0.0","42440","14","息","3876","1569","4303"
"21005","320224256","100224256","4103","1",".02","11.36","0.0","43068","13","税","6266","6800","4666"
"21005","320224257","100224257","4102","2",".11","11.38","0.0","42246","12","息","1231","6651","7261"
"21005","320224258","100224258","4103","1",".01","11.27","0.0","43054","11","税","3020","3154","9823"
"21005","320224259","100224259","4102","2",".24","11.28","0.0","20190726","10","J息","7336","1373","2525"
"21005","320224260","100224260","4103","1","480","11.04","0.0","42637","9","取","1442","6174","9530"
"21005","320224261","100224261","4102","2","477","491.04","0.0","43699","8","存","2329","4179","7314"
"21005","320224262","100224262","4103","1","600","14.04","0.0","42007","7","取","4644","3184","5471"
"21005","320224263","100224263","4102","2","605","614.04","0.0","43289","6","存","1983","2577","1983"
"21005","320224264","100224264","4102","2",".04","9.04","0.0","42018","5","J息","2970","8581","9558"
"21005","320224265","100224265","4103","1","620","9.0","0.0","42233","4","取","6600","6148","7413"
"21005","320224266","100224266","4102","2","627","629.0","0.0","43337","3","存","6256","7170","5483"
"21005","320224267","100224267","4103","1","350","2.0","0.0","42614","2","取","3425","1066","6854"
"21005","320224268","100224268","4102","2","352","352.0","0.0","42006","1","开","1144","4818","6758"
"21005","320224269","100224269","4103","1",".02","10.38","0.0","42007","158","税","5994","7519","4820"
"21005","320224270","100224270","4102","2",".08","10.39","0.0","42837","157","息","2480","9664","2504"
"21005","320224271","100224271","4103","1",".02","10.32","0.0","43033","156","税","6000","5583","1083"
"21005","320224272","100224272","4102","2","73560.08","10.33","0.0","43334","155","息","9862","6999","9862"
"21005","320224273","100224273","4103","1",".02","10.26","0.0","43021","154","税","8891","5572","6202"
"21005","320224274","100224274","4102","2",".08","10.27","0.0","42855","153","息","6735","5125","7553"
"21005","320224275","100224275","4103","1",".02","10.2","0.0","43550","152","税","6164","9786","6320"
"21005","320224276","100224276","4102","2",".11","10.22","0.0","43062","151","息","5200","9013","3035"
"21005","320224277","100224277","4103","1",".01","10.12","0.0","42421","150","税","1190","4680","6620"
"21005","320224278","100224278","4102","2",".24","10.13","0.0","43029","149","J息","1425","8885","1425"
"21005","320224279","100224279","4102","2","480","10.03","0.0","43016","148","J息","2849","7212","1893"
"21005","320224280","100224280","4103","1","477","10.0","0.0","42218","2","取","8717","4540","8717"
"21005","320224281","100224281","4102","2","347","347.0","0.0","42227","1","开","3686","2247","2724"
"21005","320224282","100224282","4103","1",".08","58.84","0.0","43064","11","税","1680","9899","5969"
"21005","320224283","100224283","4102","2",".41","58.92","0.0","43526","10","息","5921","7247","6912"
"21005","320224284","100224284","4103","1","123700.08","58.51","0.0","42640","9","税","5034","2940","5034"
"21005","320224285","100224285","4102","2",".41","58.59","0.0","42022","8","息","1111","8332","9787"
"21005","320224286","100224286","4103","1",".08","58.18","0.0","43307","7","税","2419","5563","7684"
"21005","320224287","100224287","4102","2",".41","58.26","0.0","42034","6","息","4282","1437","3098"
"21005","320224288","100224288","4103","1",".11","57.85","0.0","42631","5","税","8780","3867","9111"
"21005","320224289","100224289","4102","2",".56","57.96","0.0","42821","4","息","2879","5649","3918"
"21005","320224290","100224290","4103","1",".33","57.4","0.0","43302","3","税","1401","4533","4693"
"21005","320224291","100224291","4102","2","5.47","57.73","0.0","42218","2","J息","3648","2546","2545"
"21005","320224292","100224292","4103","1","2000","52.26","0.0","43788","1","取","1763","1087","7017"
"21005","320224293","100224293","4103","1",".08","56.46","0.0","42808","13","税","1004","4985","1204"
"21005","320224294","100224294","4102","2",".4","56.54","0.0","43658","12","息","8382","3874","4357"
"21005","320224295","100224295","4103","1",".08","56.14","0.0","42617","11","税","3530","9659","2894"
"21005","320224296","100224296","4102","2",".4","56.22","0.0","42232","10","息","5464","8882","5796"
"21005","320224297","100224297","4103","1",".08","55.82","0.0","43067","9","税","6632","4930","8372"
"21005","320224298","100224298","4102","2",".4","55.9","0.0","42620","8","息","8760","8380","2505"
"21005","320224299","100224299","4103","1",".11","55.5","0.0","43012","7","税","1360","5336","5811"
"21005","320224300","100224300","4102","2",".55","55.61","0.0","42667","6","息","1401","9467","8780"
"21005","320224301","100224301","4103","1","2.75","55.06","0.0","43282","5","税","8324","3154","3509"
"21005","320224302","100224302","4102","2","40.21","57.81","0.0","42832","4","J息","1544","8337","7497"
"21005","320224303","100224303","4103","1","8000","17.6","0.0","43288","3","取","7986","3971","5272"
"21005","320224304","100224304","4102","2","17.6","8017.6","0.0","43285","2","J息","2003","7018","5592"
"21005","320224305","100224305","4102","2","83000","8000.0","0.0","43014","1","开","5203","9744","5203"
"21005","320224306","100224306","4103","1",".02","13.13","0.0","42438","15","税","6859","4270","3996"
"21005","320224307","100224307","4102","2",".09","13.15","0.0","43023","14","息","3999","7520","9315"
"21005","320224308","100224308","4103","1",".02","13.06","0.0","42217","13","税","7092","4615","8840"
"21005","320224309","100224309","4102","2","53036.09","13.08","0.0","43493","12","息","6176","6422","6176"
"21005","320224310","100224310","4103","1",".02","12.99","0.0","42220","11","税","8930","7244","5952"
"21005","320224311","100224311","4102","2",".09","13.01","0.0","43687","10","息","2941","4273","1636"
"21005","320224312","100224312","4103","1",".02","12.92","0.0","42246","9","税","1214","9580","1214"
"21005","320224313","100224313","4102","2","128880.12","12.94","0.0","43290","158","息","5298","7739","5298"
"31005","320224314","100224314","4103","1",".02","12.82","0.0","42014","157","税","6523","5661","5941"
"31005","320224315","100224315","4102","2",".36","12.84","0.0","43045","156","J息","4569","4383","5112"
"31005","320224316","100224316","4103","1","90","12.48","0.0","43059","155","取","7445","9482","8315"
"31005","320224317","100224317","4103","1","400","102.48","0.0","43051","154","取","8376","6757","2980"
"31005","320224318","100224318","4102","2","2.48","502.48","0.0","42670","153","J息","7488","9648","9876"
"31005","320224319","100224319","4103","1","2500","500.0","0.0","42009","152","取","6483","1575","6363"
"31005","320224320","100224320","4102","2","3000","3000.0","0.0","43309","151","开","2935","4769","3109"
"31005","320224321","100224321","4103","1","2700","1232.51","498220.0","42834","150","取","3255","9669","9884"
"31005","320224322","100224322","4102","2","1000","3932.51","1386520.0","43024","149","存","1356","9118","5907"
"31005","320224323","100224323","4102","2","500","2932.51","1007.0","43288","148","存","3318","4487","4930"
"31005","320224324","100224324","4103","1","1.85","2432.51","0.0","42845","121","税","7099","2812","7099"
"31005","320224325","100224325","4102","2","9.26","2434.36","0.0","42430","120","息","1504","2446","1508"
"31005","320224326","100224326","4102","2","1300","2425.1","1001.0","42244","119","存","2876","9057","8646"
"31005","320224327","100224327","4102","2","600","1125.1","1007.0","42629","118","存","8380","3312","1780"
"31005","320224328","100224328","4103","1","2000","525.1","1001.0","43060","117","取","2706","9983","8025"
"31005","320224329","100224329","4103","1","6000","2525.1","1007.0","42056","116","取","1508","8069","1773"
"31005","320224330","100224330","4102","2","5000","8525.1","1001.0","42830","115","存","8793","9916","2650"
"31005","320224331","100224331","4102","2","1200","3525.1","1001.0","42661","114","存","2246","8212","2404"
"31005","320224332","100224332","4102","2","128300","2325.1","1002.0","43305","113","存","4703","1174","4703"
"31005","320224333","100224333","4103","1","600","25.1","1006.0","42621","112","取","4534","7266","8890"
"31005","320224334","100224334","4103","1","2000","625.1","1007.0","43309","111","取","9991","1119","9992"
"31005","320224335","100224335","4102","2","600","2625.1","1001.0","42226","110","存","9845","3004","8277"
"31005","320224336","100224336","4102","2","2000","2025.1","1001.0","43311","109","存","7555","6941","1876"
"31005","320224337","100224337","4103","1","1200","25.1","1001.0","43696","108","取","8020","8715","9350"
"31005","320224338","100224338","4102","2","1200","1225.1","1006.0","42014","107","存","8149","1705","6849"
"31005","320224339","100224339","4103","1","323000","25.1","1004.0","43295","106","取","6037","1380","6037"
"31005","320224340","100224340","4102","2","1000","3025.1","1006.0","43302","105","存","8927","9880","8779"
"31005","320224341","100224341","4103","1","800","2025.1","1006.0","43300","104","取","6001","1733","1171"
"31005","320224342","100224342","4102","2","2800","2825.1","1006.0","43307","103","存","3164","6973","1391"
"31005","320224343","100224343","4103","1","1000","25.1","1004.0","43290","102","取","7751","5470","1133"
"31005","320224344","100224344","4102","2","1000","1025.1","1004.0","43034","101","存","3278","8522","3562"
"31005","320224345","100224345","4103","1","150","25.1","1006.0","43051","100","取","6713","7888","8109"
"31005","320224346","100224346","4103","1","3000","175.1","1001.0","43294","99","取","4675","5754","8885"
"31005","320224347","100224347","4103","1","4100","3175.1","1006.0","42011","98","取","5539","9179","3882"
"31005","320224348","100224348","4102","2","3950","7275.1","1001.0","43299","97","存","5263","6571","5909"
"31005","320224349","100224349","4102","2","2300","3325.1","1004.0","43660","96","存","8564","4829","8564"
"31005","320224350","100224350","4102","2","1000","1025.1","1006.0","43483","95","存","3222","9466","5805"
"31005","320224351","100224351","4103","1","3200","25.1","1004.0","42425","94","取","5464","8064","8550"
"31005","320224352","100224352","4102","2","1000","3225.1","1001.0","43293","93","存","6529","4717","1352"
"31005","320224353","100224353","4102","2","1850","2225.1","1001.0","43058","92","存","7894","4325","3423"
"31005","320224354","100224354","4103","1","300","375.1","1006.0","42657","91","取","2433","1351","5637"
"31005","320224355","100224355","4103","1","1850","675.1","1001.0","43287","90","取","3077","8198","8759"
"31005","320224356","100224356","4102","2","2500","2525.1","1001.0","43302","89","存","1468","3265","5254"
"31005","320224357","100224357","4103","1","2.62","25.1","0.0","43012","88","税","7269","9149","7269"
"31005","320224358","100224358","4102","2","133609.11","27.72","0.0","42822","87","息","7104","3505","7104"
"31005","320224359","100224359","4103","1","2000","14.61","1001.0","42626","86","取","7645","8406","5651"
"31005","320224360","100224360","4102","2","2000","2014.61","1004.0","43287","85","存","5311","5640","4124"
"31005","320224361","100224361","4103","1","7800","14.61","1006.0","42665","84","取","7318","2424","8785"
"31005","320224362","100224362","4102","2","54600","7814.61","1006.0","43544","83","存","8535","9262","8535"
"31005","320224363","100224363","4103","1","1000","3214.61","1005.0","43009","82","取","8095","1892","2892"
"31005","320224364","100224364","4102","2","2000","4214.61","1001.0","43055","81","存","4200","4938","6037"
"31005","320224365","100224365","4102","2","1000","2214.61","1005.0","42058","80","存","6969","6381","6444"
"31005","320224366","100224366","4102","2","1200","1214.61","1001.0","43760","79","存","2239","6505","5241"
"31005","320224367","100224367","4103","1","2800","14.61","1005.0","42628","78","取","3411","9840","7920"
"31005","320224368","100224368","4102","2","1500","2814.61","1006.0","42638","77","存","4774","1189","8997"
"31005","320224369","100224369","4102","2","1300","1314.61","1005.0","42417","76","存","8345","3228","8694"
"31005","320224370","100224370","4103","1","9900","14.61","1001.0","43283","75","取","6117","7432","8461"
"31005","320224371","100224371","4102","2","5000","9914.61","1005.0","42422","74","存","5541","3723","1706"
"31005","320224372","100224372","4103","1","300","4914.61","1006.0","42625","73","取","7062","1785","7978"
"31005","320224373","100224373","4102","2","600","5214.61","1006.0","42616","72","存","4885","7449","8845"
"31005","320224374","100224374","4102","2","2400","4614.61","1005.0","42669","71","存","6398","5771","7831"
"31005","320224375","100224375","4102","2","2200","2214.61","1001.0","42619","70","存","6483","6451","6090"
"31005","320224376","100224376","4103","1","3400","14.61","1006.0","20150726","69","取","7143","9282","4560"
"31005","320224377","100224377","4103","1","300","3414.61","1006.0","42819","68","取","8316","8553","3596"
"31005","320224378","100224378","4102","2","3700","3714.61","1005.0","42621","67","存","7180","2835","5480"
"31005","320224379","100224379","4103","1","2600","14.61","1005.0","42436","66","取","6645","9850","4843"
"31005","320224380","100224380","4102","2","300","2614.61","1001.0","42615","65","存","8977","8873","7643"
"31005","320224381","100224381","4103","1","3.07","2314.61","0.0","42053","64","税","1339","5287","1567"
"31005","320224382","100224382","4102","2","15.37","2317.68","0.0","43311","63","息","2329","5524","8989"
"31005","320224383","100224383","4102","2","51700","2302.31","1005.0","43021","62","存","7498","5891","7498"
"31005","320224384","100224384","4103","1","200","602.31","1001.0","42227","61","取","8066","4763","8066"
"31005","320224385","100224385","4102","2","53400.5","802.31","1001.0","42015","60","存","8477","5777","8477"
